iter	Passed	Remaining
400	36793	54960
401	36908	54903
402	37065	54909
403	37154	54811
404	37223	54685
405	37321	54603
406	37440	54550
407	37544	54475
408	37637	54385
409	37717	54276
410	37815	54193
411	37960	54176
412	38088	54134
413	38159	54012
414	38205	53855
415	38284	53745
416	38385	53665
417	38532	53651
418	38655	53601
419	38702	53446
420	38768	53318
421	38902	53284
422	39027	53235
423	39137	53168
424	39237	53086
425	39359	53033
426	39478	52976
427	39585	52904
428	39650	52775
429	39795	52752
430	39940	52728
431	40085	52704
432	40183	52619
433	40293	52548
434	40432	52515
435	40603	52523
436	40692	52425
437	40860	52427
438	40962	52346
439	41131	52349
440	41248	52285
441	41380	52240
442	41485	52161
443	41550	52031
444	41644	51938
445	41797	51919
446	41906	51844
447	41988	51735
448	42056	51610
449	42209	51589
450	42365	51570
451	42507	51535
452	42604	51444
453	42745	51408
454	42812	51280
455	42863	51135
456	42928	51007
457	43056	50953
458	43185	50900
459	43310	50843
460	43403	50747
461	43523	50682
462	43618	50589
463	43769	50561
464	43853	50455
465	43959	50374
466	44057	50284
467	44174	50214
468	44292	50148
469	44408	50078
470	44586	50076
471	44657	49956
472	44712	49816
473	44799	49713
474	44871	49595
475	45026	49567
476	45122	49474
477	45203	49364
478	45322	49296
479	45493	49284
480	45620	49224
481	45715	49129
482	45842	49069
483	45962	49001
484	46111	48963
485	46262	48927
486	46420	48898
487	46512	48800
488	46607	48704
489	46726	48634
490	46881	48599
491	46997	48525
492	47122	48460
493	47253	48401
494	47336	48293
495	47419	48183
496	47577	48151
497	47672	48055
498	47789	47980
499	47875	47875
500	47984	47793
501	48095	47712
502	48178	47603
503	48229	47463
504	48344	47387
505	48465	47315
506	48580	47239
507	48673	47140
508	48747	47023
509	48832	46917
510	48962	46854
511	49092	46791
512	49161	46669
513	49271	46587
514	49405	46527
515	49524	46452
516	49659	46393
517	49770	46311
518	49960	46302
519	50012	46165
520	50090	46052
521	50170	45941
522	50253	45833
523	50399	45782
524	50499	45690
525	50572	45572
526	50663	45472
527	50753	45370
528	50826	45254
529	50910	45147
530	51077	45113
531	51258	45092
532	51422	45054
533	51558	44993
534	51732	44963
535	51834	44871
536	51926	44771
537	52081	44724
538	52175	44624
539	52249	44508
540	52294	44367
541	52366	44250
542	52452	44145
543	52616	44105
544	52740	44030
545	52881	43970
546	53027	43915
547	53125	43819
548	53228	43726
549	53278	43591
550	53364	43485
551	53527	43442
552	53661	43375
553	53745	43268
554	53868	43191
555	53959	43089
556	54094	43022
557	54203	42935
558	54404	42919
559	54558	42867
560	54747	42842
561	54901	42787
562	55006	42696
563	55070	42572
564	55149	42460
565	55284	42391
566	55435	42334
567	55567	42262
568	55668	42167
569	55725	42038
570	55796	41920
571	55885	41816
572	56039	41760
573	56129	41656
574	56294	41608
575	56363	41489
576	56459	41390
577	56609	41330
578	56773	41281
579	56904	41206
580	56999	41105
581	57141	41039
582	57238	40940
583	57308	40822
584	57411	40728
585	57566	40669
586	57729	40617
587	57819	40513
588	57929	40422
589	58050	40340
590	58175	40260
591	58292	40174
592	58355	40052
593	58442	39945
594	58599	39886
595	58730	39810
596	58800	39692
597	58852	39562
598	58905	39434
599	59069	39379
600	59212	39311
601	59349	39237
602	59441	39134
603	59584	39065
604	59683	38967
605	59748	38846
606	59825	38734
607	59952	38653
608	60097	38584
609	60188	38480
610	60231	38346
611	60331	38249
612	60448	38162
613	60543	38061
614	60690	37993
615	60784	37891
616	60849	37771
617	60947	37672
618	61085	37598
619	61209	37515
620	61301	37412
621	61406	37317
622	61481	37204
623	61572	37101
624	61647	36988
625	61721	36875
626	61805	36767
627	61916	36676
628	62056	36602
629	62155	36503
630	62278	36419
631	62355	36308
632	62420	36189
633	62493	36076
634	62655	36014
635	62804	35944
636	62889	35838
637	62987	35738
638	63119	35658
639	63266	35587
640	63374	35493
641	63452	35383
642	63500	35255
643	63555	35133
644	63646	35030
645	63741	34929
646	63835	34828
647	63989	34759
648	64063	34647
649	64141	34537
650	64273	34457
651	64408	34377
652	64555	34304
653	64635	34195
654	64702	34080
655	64793	33976
656	64891	33877
657	64979	33773
658	65073	33672
659	65139	33556
660	65193	33434
661	65264	33322
662	65336	33210
663	65414	33101
664	65489	32990
665	65585	32891
666	65659	32780
667	65761	32683
668	65841	32576
669	65915	32465
670	65979	32350
671	66062	32244
672	66131	32132
673	66236	32037
674	66332	31938
675	66406	31828
676	66489	31722
677	66564	31613
678	66667	31517
679	66748	31411
680	66840	31310
681	66892	31190
682	66959	31078
683	67048	30975
684	67128	30869
685	67203	30760
686	67271	30649
687	67358	30546
688	67416	30430
689	67504	30328
690	67607	30232
691	67680	30123
692	67763	30019
693	67852	29917
694	67916	29804
695	67985	29694
696	68052	29583
697	68145	29484
698	68210	29372
699	68306	29274
700	68365	29160
701	68435	29051
702	68522	28948
703	68595	28841
704	68686	28741
705	68756	28632
706	68819	28520
707	68882	28409
708	68987	28315
709	69058	28207
710	69127	28098
711	69218	27998
712	69317	27902
713	69399	27798
714	69494	27700
715	69557	27589
716	69615	27477
717	69684	27369
718	69756	27262
719	69815	27150
720	69891	27045
721	69970	26941
722	70061	26842
723	70116	26729
724	70225	26637
725	70310	26535
726	70384	26430
727	70455	26324
728	70536	26221
729	70607	26115
730	70678	26009
731	70769	25909
732	70840	25804
733	70911	25698
734	70983	25592
735	71054	25486
