iter	RMSE
592	19385.01213
593	19383.23393
594	19380.71819
595	19374.85671
596	19370.11309
597	19366.15379
598	19363.0679
599	19359.99908
600	19345.73887
601	19321.32058
602	19320.49927
603	19316.31132
604	19308.61754
605	19307.97957
606	19301.06351
607	19300.40606
608	19298.85715
609	19296.70903
610	19295.69196
611	19284.5007
612	19279.82469
613	19278.8389
614	19245.95278
615	19238.28241
616	19237.25275
617	19230.955
618	19219.94087
619	19216.01997
620	19200.96683
621	19200.10781
622	19198.94087
623	19193.13182
624	19190.5398
625	19183.89778
626	19168.78302
627	19161.9893
628	19160.2788
629	19160.14368
630	19158.47698
631	19152.17051
632	19151.05326
633	19150.86069
634	19148.1276
635	19147.15499
636	19127.01388
637	19124.3979
638	19122.48299
639	19120.77815
640	19119.95399
641	19116.58143
642	19115.0457
643	19111.59814
644	19109.55371
645	19108.00571
646	19100.24777
647	19095.10938
648	19092.47226
649	19086.90746
650	19081.89798
651	19081.04538
652	19077.79105
653	19076.52013
654	19074.83563
655	19071.70579
656	19034.10321
657	19028.15282
658	19023.39794
659	19022.11685
660	19011.71213
661	19011.3226
662	19010.87407
663	18998.32736
664	18997.08181
665	18993.67561
666	18992.1457
667	18989.71107
668	18982.77308
669	18980.3286
670	18978.88505
671	18975.96029
672	18975.38375
673	18973.50021
674	18973.16803
675	18947.64621
676	18914.42903
677	18912.72835
678	18877.79278
679	18876.02014
680	18865.87159
681	18863.64094
682	18859.29975
683	18850.29657
684	18850.11329
685	18848.55272
686	18847.68143
687	18847.10531
688	18833.91144
689	18828.28
690	18807.63794
691	18807.32197
692	18807.02374
693	18804.71622
694	18798.13115
695	18796.63694
696	18796.19826
697	18791.45821
698	18769.68319
699	18766.73977
700	18764.54899
701	18754.69817
702	18748.13349
703	18740.66851
704	18733.07192
705	18730.97856
706	18730.578
707	18730.20942
708	18727.50549
709	18725.67241
710	18723.47233
711	18720.48972
712	18714.39074
713	18713.22361
714	18703.2984
715	18702.73314
716	18698.68426
717	18698.65381
718	18698.17651
719	18696.76894
720	18695.55654
721	18694.15414
722	18690.71219
723	18689.13122
724	18680.45299
725	18678.44889
726	18678.23737
727	18676.53954
728	18676.28486
729	18674.77296
730	18674.71994
731	18673.47267
732	18662.36647
733	18659.04439
734	18658.6822
735	18655.81938
736	18651.16226
737	18644.57001
738	18642.82198
739	18628.87664
740	18627.04817
741	18620.71452
742	18615.86151
743	18615.50341
744	18614.43531
745	18614.21398
746	18599.77678
747	18597.60069
748	18591.42671
749	18590.45402
750	18588.52968
751	18583.83642
752	18582.08997
753	18580.8279
754	18579.95941
755	18578.44438
756	18576.65465
757	18574.43285
758	18572.34431
759	18572.31303
760	18570.60695
761	18569.17209
762	18567.65279
763	18567.54799
764	18565.65173
765	18560.28541
766	18550.71237
767	18550.5581
768	18548.88077
769	18548.77438
770	18548.15225
771	18545.51845
772	18544.93695
773	18508.6033
774	18471.01384
775	18463.95891
776	18463.64883
777	18459.28798
778	18457.76637
779	18457.01559
780	18453.6822
781	18453.28418
782	18453.22492
783	18452.90401
784	18451.85106
785	18450.62064
786	18449.71082
787	18444.17832
788	18438.02974
789	18433.89478
790	18428.66603
791	18386.19621
792	18385.15534
793	18383.05453
794	18380.14895
795	18378.84164
796	18371.79643
797	18355.21904
798	18353.22017
799	18344.83775
800	18344.72227
801	18343.17938
802	18341.9213
803	18338.86333
804	18332.47464
805	18330.48107
806	18317.39855
807	18317.28994
808	18317.28321
809	18315.91649
810	18314.11413
811	18312.7317
812	18309.33397
813	18308.36405
814	18308.1381
815	18303.75153
816	18303.13591
817	18296.46109
818	18292.361
819	18291.98694
820	18291.34949
821	18285.18474
822	18279.85151
823	18279.0995
824	18276.88126
825	18270.93495
826	18270.7178
827	18268.31516
828	18267.63348
829	18267.11965
830	18265.38948
831	18264.83066
832	18263.73438
833	18261.92657
834	18257.52543
835	18257.42225
836	18255.33179
837	18242.23477
838	18238.36803
839	18236.81874
840	18236.62973
841	18224.49107
842	18220.11665
843	18216.28059
844	18214.20123
845	18210.33176
846	18209.99835
847	18208.66739
848	18208.49219
849	18208.3052
850	18201.57707
851	18200.6606
852	18190.27175
853	18189.6782
854	18188.85647
855	18186.20108
856	18177.69813
857	18169.77746
858	18166.5049
859	18165.73923
860	18165.34428
861	18164.97952
862	18164.57038
863	18163.43941
864	18163.26553
865	18161.76731
866	18160.03859
867	18156.69032
868	18131.61562
869	18131.54267
870	18111.46965
871	18108.50889
872	18106.84302
873	18106.50289
874	18103.5541
875	18103.24206
876	18103.10044
877	18102.38952
878	18099.51336
879	18098.80185
880	18097.03996
881	18095.08327
882	18094.516
883	18087.97268
884	18083.77537
885	18083.60969
886	18081.64053
887	18078.2325
888	18076.92763
889	18072.541
890	18069.22394
891	18067.3616
892	18064.34255
893	18063.70408
894	18060.79898
895	18058.62543
896	18054.27356
897	18053.70966
898	18050.2226
899	18046.81952
900	18045.70173
901	18044.23734
902	18043.20295
903	18039.52659
904	18036.16466
905	18030.58216
906	18029.26802
907	18022.98441
908	18021.22053
909	18016.86971
910	18015.93786
911	18006.43483
912	18005.75275
913	17996.74671
914	17993.0069
915	17988.70345
916	17988.0661
917	17979.51048
918	17978.71125
919	17977.67742
920	17977.45483
921	17975.36625
922	17974.64521
923	17974.30466
924	17973.42135
925	17970.6414
926	17962.51624
927	17959.74109
928	17925.32824
929	17922.96017
930	17920.17926
931	17919.33796
932	17918.22057
933	17913.35694
934	17910.96806
935	17900.24851
936	17899.47552
937	17896.05915
938	17895.66229
939	17893.25928
940	17893.15166
941	17890.577
942	17881.18202
943	17869.90195
944	17865.5208
945	17859.22296
946	17858.64301
947	17856.66468
948	17853.61221
949	17852.37862
950	17851.50071
951	17850.9956
952	17848.57712
953	17833.71164
954	17797.45801
955	17796.54341
956	17795.99946
957	17767.86875
958	17749.3945
959	17743.95116
960	17737.58794
961	17736.83717
962	17726.16861
963	17725.0061
964	17721.95187
965	17720.75103
966	17718.16616
967	17710.97636
968	17709.28855
969	17705.28856
970	17697.78908
971	17692.38142
972	17688.14474
973	17679.63595
974	17678.33334
975	17678.14095
976	17675.5701
977	17673.35265
978	17664.27983
979	17659.4836
980	17656.06182
981	17651.16118
982	17646.98381
983	17646.35595
984	17643.80387
985	17641.72473
986	17640.28514
987	17639.53935
988	17639.42741
989	17636.79691
990	17634.21827
991	17619.72329
992	17615.35494
993	17613.05422
994	17601.79857
995	17601.41742
996	17600.57332
997	17599.2699
998	17595.75174
999	17587.7452
